theta1,theta2,x,y
-89.0,5.0,1.2198086971,-19.9436959053
-89.0,6.0,1.3932174985,-19.923938468
-89.0,7.0,1.566255074,-19.901157639
-89.0,8.0,1.7388687148,-19.8753603576
-89.0,9.0,1.9110058411,-19.8465544817
-89.0,10.0,2.0826140182,-19.8147487861
-89.0,11.0,2.2536409726,-19.7799529589
-89.0,12.0,2.4240346078,-19.7421775995
-89.0,13.0,2.5937430204,-19.7014342144
-89.0,14.0,2.7627145154,-19.6577352145
-89.0,15.0,2.9308976226,-19.611093911
-89.0,16.0,3.0982411116,-19.5615245112
-89.0,17.0,3.2646940081,-19.5090421146
-89.0,18.0,3.430205609,-19.4536627076
-89.0,19.0,3.5947254977,-19.3954031595
-89.0,20.0,3.7582035599,-19.3342812166
-89.0,21.0,3.9205899986,-19.2703154973
-89.0,22.0,4.0818353493,-19.2035254861
-89.0,23.0,4.2418904952,-19.133931528
-89.0,24.0,4.4007066818,-19.061554822
-89.0,25.0,4.5582355323,-18.9864174146
-89.0,26.0,4.7144290618,-18.9085421935
-89.0,27.0,4.8692396923,-18.8279528802
-89.0,28.0,5.0226202669,-18.744674023
-89.0,29.0,5.1745240644,-18.6587309894
-89.0,30.0,5.3249048135,-18.5701499586
-89.0,31.0,5.4737167067,-18.4789579132
-89.0,32.0,5.6209144146,-18.3851826311
-89.0,33.0,5.7664530991,-18.2888526772
-89.0,34.0,5.9102884279,-18.1899973945
-89.0,35.0,6.0523765873,-18.0886468953
-89.0,36.0,6.1926742959,-17.9848320521
-89.0,37.0,6.3311388177,-17.8785844877
-89.0,38.0,6.4677279749,-17.7699365662
-89.0,39.0,6.6024001613,-17.6589213828
-89.0,40.0,6.7351143543,-17.5455727538
-89.0,41.0,6.865830128,-17.4299252064
-89.0,42.0,6.994507665,-17.3120139678
-89.0,43.0,7.121107769,-17.191874955
-89.0,44.0,7.2455918763,-17.0695447635
-89.0,45.0,7.3679220678,-16.9450606562
-89.0,46.0,7.4880610806,-16.8184605522
-89.0,47.0,7.6059723192,-16.6897830152
-89.0,48.0,7.7216198666,-16.5590672415
-89.0,49.0,7.8349684956,-16.4263530485
-89.0,50.0,7.945983679,-16.2916808621
-89.0,51.0,8.0546316005,-16.1550917049
-89.0,52.0,8.1608791649,-16.0166271831
-89.0,53.0,8.2646940081,-15.8763294745
-89.0,54.0,8.3660445073,-15.7342413151
-89.0,55.0,8.46489979,-15.5904059863
-89.0,56.0,8.5612297439,-15.4448673018
-89.0,57.0,8.655005026,-15.2976695939
-89.0,58.0,8.7461970714,-15.1488577007
-89.0,59.0,8.8347781022,-14.9984769516
-89.0,60.0,8.9207211358,-14.8465731541
-89.0,61.0,9.003999993,-14.6931925795
-89.0,62.0,9.0845893063,-14.538381949
-89.0,63.0,9.1624645274,-14.3821884195
-89.0,64.0,9.2376019348,-14.224659569
-89.0,65.0,9.3099786408,-14.0658433824
-89.0,66.0,9.3795725989,-13.9057882365
-89.0,67.0,9.4463626101,-13.7445428858
-89.0,68.0,9.5103283294,-13.5821564471
-89.0,69.0,9.5714502723,-13.4186783849
-89.0,70.0,9.6297098204,-13.2541584962
-89.0,71.0,9.6850892274,-13.0886468953
-89.0,72.0,9.737571624,-12.9221939988
-89.0,73.0,9.7871410238,-12.7548505098
-89.0,74.0,9.8337823273,-12.5866674026
-89.0,75.0,9.8774813272,-12.4176959076
-89.0,76.0,9.9182247123,-12.247987495
-89.0,77.0,9.9560000717,-12.0775938598
-89.0,78.0,9.9907958989,-11.9065669054
-89.0,79.0,10.0226015945,-11.7349587283
-89.0,80.0,10.0514074704,-11.562821602
-89.0,81.0,10.0772047518,-11.3902079612
-89.0,82.0,10.0999855808,-11.2171703857
-89.0,83.0,10.1197430181,-11.0437615843
-89.0,84.0,10.1364710453,-10.8700343791
-89.0,85.0,10.150164567,-10.696041689
-89.0,86.0,10.1608194119,-10.521836514
-89.0,87.0,10.1684323346,-10.3474719186
-89.0,88.0,10.173001016,-10.173001016
-89.0,89.0,10.1745240644,-9.9984769516
-89.0,90.0,10.173001016,-9.8239528872
-89.0,91.0,10.1684323346,-9.6494819846
-89.0,92.0,10.1608194119,-9.4751173892
-89.0,93.0,10.150164567,-9.3009122142
-89.0,94.0,10.1364710453,-9.1269195241
-89.0,95.0,10.1197430181,-8.9531923189
-89.0,96.0,10.0999855808,-8.7797835175
-89.0,97.0,10.0772047518,-8.606745942
-89.0,98.0,10.0514074704,-8.4341323012
-89.0,99.0,10.0226015945,-8.2619951749
-89.0,100.0,9.9907958989,-8.0903869978
-89.0,101.0,9.9560000717,-7.9193600434
-89.0,102.0,9.9182247123,-7.7489664082
-89.0,103.0,9.8774813272,-7.5792579956
